instanceId,iteration,chamberId,stations,voltageCapable,humidityAdjustable,envTempC,envHumidity
I1,1,T001,8,false,false,10,NORMAL
I1,1,T002,8,true,true,38,NORMAL
I1,1,T003,8,true,true,10,NORMAL
I1,1,T004,8,true,true,25,85%
I1,1,T005,8,true,true,32,85%
I1,1,T006,8,false,false,32,NORMAL
I1,1,T007,8,false,false,43,NORMAL
I1,1,T008,12,true,false,43,NORMAL
I1,1,T009,12,false,false,10,NORMAL
I1,1,T010,12,false,true,43,NORMAL
I1,1,T011,12,false,true,16,NORMAL
I1,1,T012,12,false,true,25,85%
I1,1,T013,12,false,true,32,85%
I1,1,T014,6,false,true,38,NORMAL
I1,1,T015,6,false,true,10,NORMAL
I1,1,T016,6,true,false,43,NORMAL
I1,1,T017,6,true,false,10,NORMAL
I1,1,T018,6,true,false,32,NORMAL
I1,1,T019,6,true,false,16,NORMAL
I1,1,T020,6,true,false,38,NORMAL
I1,1,T021,6,true,false,43,NORMAL
I1,1,T022,6,true,false,25,NORMAL
I1,1,T023,6,true,false,10,NORMAL
I1,1,T024,8,false,true,16,NORMAL
I1,1,T025,8,true,true,16,NORMAL
I1,1,T026,12,true,false,32,NORMAL
I1,1,T027,12,true,false,16,NORMAL
I1,1,T028,12,true,false,25,NORMAL
I2,1,T001,8,false,false,38,NORMAL
I2,1,T002,8,true,true,25,85%
I2,1,T003,8,true,true,32,85%
I2,1,T004,8,true,true,25,NORMAL
I2,1,T005,8,true,true,43,NORMAL
I2,1,T006,8,false,false,43,NORMAL
I2,1,T007,8,false,false,10,NORMAL
I2,1,T008,12,true,false,43,NORMAL
I2,1,T009,12,false,false,32,NORMAL
I2,1,T010,12,false,true,25,NORMAL
I2,1,T011,12,false,true,43,NORMAL
I2,1,T012,12,false,true,10,NORMAL
I2,1,T013,12,false,true,25,NORMAL
I2,1,T014,6,false,true,32,85%
I2,1,T015,6,false,true,32,85%
I2,1,T016,6,true,false,43,NORMAL
I2,1,T017,6,true,false,25,NORMAL
I2,1,T018,6,true,false,10,NORMAL
I2,1,T019,6,true,false,43,NORMAL
I2,1,T020,6,true,false,25,NORMAL
I2,1,T021,6,true,false,16,NORMAL
I2,1,T022,6,true,false,32,NORMAL
I2,1,T023,6,true,false,38,NORMAL
I2,1,T024,8,false,true,25,85%
I2,1,T025,8,true,true,25,NORMAL
I2,1,T026,12,true,false,16,NORMAL
I2,1,T027,12,true,false,25,NORMAL
I2,1,T028,12,true,false,10,NORMAL
