iteration,projectId,completionDay,dueDateDays,lateness,samples,needsVoltage
2,P1,65,60,5,4,true
2,P10,105,120,0,2,true
2,P11,55,50,5,3,false
2,P12,65,70,0,3,false
2,P13,30,30,0,8,true
2,P14,60,60,0,4,true
2,P15,90,95,0,2,false
2,P16,95,120,0,2,false
2,P17,50,50,0,4,true
2,P18,75,70,5,3,true
2,P19,55,30,25,3,false
2,P2,45,50,0,5,true
2,P20,50,60,0,3,false
2,P21,85,95,0,3,true
2,P22,95,120,0,2,true
2,P23,55,50,5,3,false
2,P24,65,70,0,3,false
2,P25,40,30,10,5,true
2,P26,60,60,0,4,true
2,P27,85,95,0,2,false
2,P28,95,120,0,2,false
2,P29,45,50,0,4,true
2,P3,95,95,0,2,false
2,P30,65,70,0,3,true
2,P31,45,30,15,4,false
2,P32,55,60,0,3,false
2,P33,85,95,0,3,true
2,P34,95,120,0,2,true
2,P35,55,50,5,3,false
2,P36,65,70,0,3,false
2,P37,60,60,0,4,true
2,P38,95,95,0,2,true
2,P39,100,120,0,2,false
2,P4,105,120,0,2,false
2,P40,50,50,0,3,false
2,P41,70,70,0,4,true
2,P42,40,30,10,4,true
2,P43,60,60,0,3,false
2,P44,80,95,0,2,false
2,P45,100,120,0,2,true
2,P46,55,50,5,3,true
2,P47,70,70,0,3,false
2,P48,50,30,20,3,false
2,P49,60,60,0,4,true
2,P5,55,50,5,4,true
2,P50,85,95,0,2,false
2,P6,70,70,0,4,true
2,P7,55,50,5,3,false
2,P8,55,60,0,5,false
2,P9,85,95,0,3,true
