iteration,projectId,samples,dueDateDays,needsVoltage
2,P1,4,60,true
2,P10,2,120,true
2,P11,3,50,false
2,P12,3,70,false
2,P13,8,30,true
2,P14,4,60,true
2,P15,2,95,false
2,P16,2,120,false
2,P17,4,50,true
2,P18,3,70,true
2,P19,3,30,false
2,P2,5,50,true
2,P20,3,60,false
2,P21,3,95,true
2,P22,2,120,true
2,P23,3,50,false
2,P24,3,70,false
2,P25,5,30,true
2,P26,4,60,true
2,P27,2,95,false
2,P28,2,120,false
2,P29,4,50,true
2,P3,2,95,false
2,P30,3,70,true
2,P31,4,30,false
2,P32,3,60,false
2,P33,3,95,true
2,P34,2,120,true
2,P35,3,50,false
2,P36,3,70,false
2,P37,4,60,true
2,P38,2,95,true
2,P39,2,120,false
2,P4,2,120,false
2,P40,3,50,false
2,P41,4,70,true
2,P42,4,30,true
2,P43,3,60,false
2,P44,2,95,false
2,P45,2,120,true
2,P46,3,50,true
2,P47,3,70,false
2,P48,3,30,false
2,P49,4,60,true
2,P5,4,50,true
2,P50,2,95,false
2,P6,4,70,true
2,P7,3,50,false
2,P8,5,60,false
2,P9,3,95,true
