chamber,stations,humidityAdjustable,voltageAvailable,temperatureC,humidity
T001,8,false,false,38,NORMAL
T002,8,true,true,43,NORMAL
T003,8,true,true,25,NORMAL
T004,8,true,true,10,NORMAL
T005,8,true,true,25,H85
T006,8,false,false,38,NORMAL
T007,8,false,false,38,NORMAL
T008,12,false,true,16,NORMAL
T009,12,false,false,38,NORMAL
T010,12,true,false,38,NORMAL
T011,12,true,false,38,NORMAL
T012,12,true,false,38,NORMAL
T013,12,true,false,38,NORMAL
T014,6,true,false,38,NORMAL
T015,6,true,false,38,NORMAL
T016,6,false,true,32,NORMAL
T017,6,false,true,38,NORMAL
T018,6,false,true,38,NORMAL
T019,6,false,true,38,NORMAL
T020,6,false,true,38,NORMAL
T021,6,false,true,38,NORMAL
T022,6,false,true,38,NORMAL
T023,6,false,true,38,NORMAL
T024,8,true,false,38,NORMAL
T025,8,true,true,32,H85
T026,12,false,true,38,NORMAL
T027,12,false,true,38,NORMAL
T028,12,false,true,38,NORMAL
